Vendor Part Number,UPC,Product Name
1234-101,72527273170,Organic Bananas
1234-102,72527273170,Whole Milk 1 Gallon
1234-103,72527273170,Stapler
1234-104,72527273170,LED Desk Lamp
1234-105,72527273170,Cotton T-Shirt
1234-106,72527273170,Bluetooth Earbuds
1234-107,72527273170,Ballpoint Pen Set
1234-108,72527273170,Frozen Pizza
1234-109,72527273170,Paper Towels 6-Pack
1234-110,72527273170,Smartphone Charging Cable
1234-111,72527273170,Laptop Backpack
1234-112,72527273170,Canned Black Beans
1234-113,72527273170,Printer Paper 500 Sheets
1234-114,72527273170,Shampoo 12oz
1234-115,72527273170,USB Flash Drive 32GB
1234-116,72527273170,Coffee Maker 12-Cup
1234-117,72527273170,Yoga Mat
1234-118,72527273170,Hand Soap Refill
1234-119,72527273170,Wireless Mouse
1234-120,72527273170,Bottled Water 24-Pack
1234-121,72527273170,Notebook 3-Pack
1234-122,72527273170,Ground Coffee 12oz
1234-123,72527273170,HDMI Cable 6ft
1234-124,72527273170,Dishwashing Liquid
1234-125,72527273170,Men's Running Shoes
1234-126,72527273170,Women's Hoodie
1234-127,72527273170,Toothpaste 2-Pack
1234-128,72527273170,AA Batteries 20-Pack
1234-129,72527273170,Scented Candle
1234-130,72527273170,Phone Case
1234-131,72527273170,Dog Treats
1234-132,72527273170,Cat Litter 20lb
1234-133,72527273170,Cotton Socks 6-Pack
1234-134,72527273170,Kitchen Sponge Set
1234-135,72527273170,Laundry Detergent
1234-136,72527273170,Plastic Food Storage Containers
1234-137,72527273170,Wireless Keyboard
1234-138,72527273170,LED Light Bulb 4-Pack
1234-139,72527273170,Bath Towels 2-Pack
1234-140,72527273170,Trash Bags 30ct
1234-141,72527273170,USB Wall Charger
1234-142,72527273170,Rice 5lb Bag
1234-143,72527273170,Organic Apples
1234-144,72527273170,Baby Wipes 80ct
1234-145,72527273170,Toothbrush Set
1234-146,72527273170,Sunscreen SPF 50
1234-147,72527273170,Nail Clippers
1234-148,72527273170,Office Chair
1234-149,72527273170,Inkjet Printer Cartridge
1234-150,72527273170,Instant Noodles 12-Pack
1234-151,72527273170,Cooking Oil 48oz
1234-152,72527273170,Cereal Box
1234-153,72527273170,Facial Tissue 3-Pack
1234-154,72527273170,Hair Brush
1234-155,72527273170,Dish Rack
1234-156,72527273170,Floor Mop
1234-157,72527273170,Sandwich Bread
1234-158,72527273170,Granola Bars 10-Pack
1234-159,72527273170,Coffee Mug
1234-160,72527273170,Electric Kettle
1234-161,72527273170,Measuring Cups Set
1234-162,72527273170,Wireless Speaker
1234-163,72527273170,Men's Jeans
1234-164,72527273170,Women's Leggings
1234-165,72527273170,Blanket Throw
1234-166,72527273170,Bath Mat
1234-167,72527273170,Air Freshener
1234-168,72527273170,Ice Cream Pint
1234-169,72527273170,"Power Bank 10,000mAh"
1234-170,72527273170,Water Bottle Stainless Steel
1234-171,72527273170,Cutting Board
1234-172,72527273170,Kitchen Knife Set
1234-173,72527273170,Oven Mitts
1234-174,72527273170,Wall Clock
1234-175,72527273170,Extension Cord 6ft
1234-176,72527273170,HDMI Adapter
1234-177,72527273170,Reusable Shopping Bag
1234-178,72527273170,Hair Dryer
1234-179,72527273170,Notebook Computer
1234-180,72527273170,Wireless Router
1234-181,72527273170,Portable Fan
1234-182,72527273170,Candle Holder
1234-183,72527273170,Body Lotion
1234-184,72527273170,Hand Sanitizer
1234-185,72527273170,Deodorant Stick
1234-186,72527273170,Facial Moisturizer
1234-187,72527273170,Protein Powder
1234-188,72527273170,Energy Drink 12oz
1234-189,72527273170,Razor Blades 4-Pack
1234-190,72527273170,Cotton Swabs 500ct
1234-191,72527273170,Dish Towels 3-Pack
1234-192,72527273170,Glass Cleaner
1234-193,72527273170,Pillow Cover Set
1234-194,72527273170,Curtain Rod
1234-195,72527273170,Wall Art Print
1234-196,72527273170,Yoga Block
1234-197,72527273170,Dumbbell Set
1234-198,72527273170,Foam Roller
1234-199,72527273170,Travel Pillow
1234-200,72527273170,Suitcase 24-Inch
