Vendor Part Number,UPC,Product Name,predicted_category,human_check,,Accuracy 74.00%
1234-101,72527273170,Organic Bananas,Vitamins & Supplements,n,,
1234-102,72527273170,Whole Milk 1 Gallon,Cleaning Supplies,n,,
1234-103,72527273170,Stapler,Office Supplies,y,,
1234-104,72527273170,LED Desk Lamp,Lighting,y,,
1234-105,72527273170,Cotton T-Shirt,Men's Clothing,y,,
1234-106,72527273170,Bluetooth Earbuds,Headphones,y,,
1234-107,72527273170,Ballpoint Pen Set,Office Equipment,y,,
1234-108,72527273170,Frozen Pizza,Kitchen & Dining,n,,
1234-109,72527273170,Paper Towels 6-Pack,Cleaning Supplies,y,,
1234-110,72527273170,Smartphone Charging Cable,Cell Phones Accessories,y,,
1234-111,72527273170,Laptop Backpack,Bags & Backpacks,y,,
1234-112,72527273170,Canned Black Beans,Pet Supply,n,,
1234-113,72527273170,Printer Paper 500 Sheets,Office Supplies,y,,
1234-114,72527273170,Shampoo 12oz,Medical Supplies,n,,
1234-115,72527273170,USB Flash Drive 32GB,Medical Supplies,n,,
1234-116,72527273170,Coffee Maker 12-Cup,Coffee Makers & Grinders,y,,
1234-117,72527273170,Yoga Mat,Fitness,y,,
1234-118,72527273170,Hand Soap Refill,Personal Care,y,,
1234-119,72527273170,Wireless Mouse,Headphones,n,,
1234-120,72527273170,Bottled Water 24-Pack,Non-alcoholic drinks,y,,
1234-121,72527273170,Notebook 3-Pack,Office Supplies,y,,
1234-122,72527273170,Ground Coffee 12oz,Non-alcoholic drinks,y,,
1234-123,72527273170,HDMI Cable 6ft,Network Accessories,n,,
1234-124,72527273170,Dishwashing Liquid,Cleaning Supplies,y,,
1234-125,72527273170,Men's Running Shoes,Men Footwear,y,,
1234-126,72527273170,Women's Hoodie,Women's Clothing,y,,
1234-127,72527273170,Toothpaste 2-Pack,Medical Supplies,n,,
1234-128,72527273170,AA Batteries 20-Pack,Office Supplies,y,,
1234-129,72527273170,Scented Candle,Home Decor,y,,
1234-130,72527273170,Phone Case,Cell Phones Accessories,y,,
1234-131,72527273170,Dog Treats,Pet Supply,y,,
